model,prompt_language,task,prompt_condition,metric,baseline_signed_human_sd_scaled_mean_deviation,condition_signed_human_sd_scaled_mean_deviation,signed_deviation_change_from_baseline,baseline_absolute_human_sd_scaled_mean_deviation,condition_absolute_human_sd_scaled_mean_deviation,absolute_deviation_change_from_baseline,baseline_reference_coverage,condition_reference_coverage,reference_coverage_change_from_baseline
GPT-4.1,en,igt,role_human,advantageous_choice_rate,2.327614198695398,2.2898593854827793,-0.03775481321261864,2.327614198695398,2.2898593854827793,-0.03775481321261864,0.0,0.0,0.0
GPT-4.1,es,igt,role_human,advantageous_choice_rate,2.1325476637635377,2.151425070369846,0.018877406606308433,2.1325476637635377,2.151425070369846,0.018877406606308433,0.0,0.0,0.0
GPT-4.1,zh-CN,igt,role_human,advantageous_choice_rate,2.428293700595713,2.4534635760707912,0.025169875475078207,2.428293700595713,2.4534635760707912,0.025169875475078207,0.0,0.05,0.05
GPT-5.4,en,igt,role_human,advantageous_choice_rate,2.2395196345326216,2.4566098105051766,0.21709017597255498,2.2395196345326216,2.4566098105051766,0.21709017597255498,0.0,0.0,0.0
GPT-5.4 Mini,en,igt,role_human,advantageous_choice_rate,1.9657972387411355,2.0129907552569097,0.04719351651577419,1.9657972387411355,2.0129907552569097,0.04719351651577419,0.5,0.2,-0.3
GPT-4.1,en,igt,detailed,post_loss_switching_rate,-0.47266713222998397,-0.21524256421689233,0.25742456801309166,0.47266713222998397,0.21524256421689233,-0.25742456801309166,1.0,1.0,0.0
GPT-4.1,es,igt,detailed,post_loss_switching_rate,-0.30720249561346785,-0.08660367029647527,0.2205988253169926,0.30720249561346785,0.08660367029647527,-0.2205988253169926,1.0,1.0,0.0
GPT-4.1,zh-CN,igt,detailed,post_loss_switching_rate,-1.5243912065396614,-0.09654243773675818,1.4278487688029033,1.5243912065396614,0.09654243773675818,-1.4278487688029033,1.0,1.0,0.0
GPT-5.4,en,igt,detailed,post_loss_switching_rate,-0.3534116089675985,-0.5058158144362525,-0.15240420546865396,0.3534116089675985,0.5058158144362525,0.15240420546865396,1.0,1.0,0.0
GPT-5.4 Mini,en,igt,detailed,post_loss_switching_rate,-1.0501786564955273,-0.9987472279291442,0.051431428566383164,1.0501786564955273,0.9987472279291442,-0.051431428566383164,1.0,0.95,-0.050000000000000044
GPT-4.1,en,igt,reward_loss_emphasis,post_loss_switching_rate,-0.47266713222998397,-0.8548577308987118,-0.3821905986687278,0.47266713222998397,0.8548577308987118,0.3821905986687278,1.0,1.0,0.0
GPT-4.1,es,igt,reward_loss_emphasis,post_loss_switching_rate,-0.30720249561346785,-0.22401819102560386,0.083184304587864,0.30720249561346785,0.22401819102560386,-0.083184304587864,1.0,1.0,0.0
GPT-4.1,zh-CN,igt,reward_loss_emphasis,post_loss_switching_rate,-1.5243912065396614,-1.1880333024925487,0.33635790404711274,1.5243912065396614,1.1880333024925487,-0.33635790404711274,1.0,1.0,0.0
GPT-5.4,en,igt,reward_loss_emphasis,post_loss_switching_rate,-0.3534116089675985,-0.2848036441493884,0.06860796481821008,0.3534116089675985,0.2848036441493884,-0.06860796481821008,1.0,1.0,0.0
GPT-5.4 Mini,en,igt,reward_loss_emphasis,post_loss_switching_rate,-1.0501786564955273,-1.3026122361470944,-0.2524335796515671,1.0501786564955273,1.3026122361470944,0.2524335796515671,1.0,1.0,0.0
GPT-4.1,en,igt,role_human,post_loss_switching_rate,-0.47266713222998397,-0.3157956329400594,0.15687149928992455,0.47266713222998397,0.3157956329400594,-0.15687149928992455,1.0,1.0,0.0
GPT-4.1,es,igt,role_human,post_loss_switching_rate,-0.30720249561346785,-0.21071549657008748,0.09648699904338037,0.30720249561346785,0.21071549657008748,-0.09648699904338037,1.0,1.0,0.0
GPT-4.1,zh-CN,igt,role_human,post_loss_switching_rate,-1.5243912065396614,-0.7723553648717639,0.7520358416678975,1.5243912065396614,0.7723553648717639,-0.7520358416678975,1.0,1.0,0.0
GPT-5.4,en,igt,role_human,post_loss_switching_rate,-0.3534116089675985,-0.3118820406820602,0.041529568285538276,0.3534116089675985,0.3118820406820602,-0.041529568285538276,1.0,1.0,0.0
GPT-5.4 Mini,en,igt,role_human,post_loss_switching_rate,-1.0501786564955273,-1.2577929361286515,-0.20761427963312418,1.0501786564955273,1.2577929361286515,0.20761427963312418,1.0,1.0,0.0
