prompt_language,task,prompt_condition,metric,n,mean,sd,median,minimum,maximum
es,bart,role_human,n_balloons,20,40.0,0.0,40.0,40.0,40.0
es,bart,role_human,n_trials,20,280.55,52.3434759419377,265.0,218.0,431.0
es,bart,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
es,bart,risk_emphasis,adjusted_average_pumps,20,6.688620820395607,1.198824036311659,6.523529411764706,4.9,8.764705882352942
es,bart,risk_emphasis,explosion_rate,20,0.19625,0.034674235847080286,0.2,0.15,0.25
es,bart,risk_emphasis,post_explosion_adjustment,20,0.8473611111111111,1.012107358255012,0.6571428571428571,-1.5714285714285714,2.6666666666666665
es,bart,risk_emphasis,average_earning_per_balloon,20,0.269625,0.054109264456283244,0.26687500000000003,0.18375000000000008,0.3725
es,bart,risk_emphasis,average_pumps,20,6.31875,1.059166597650694,6.3,4.575,8.525
es,bart,risk_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
es,bart,risk_emphasis,n_balloons,20,40.0,0.0,40.0,40.0,40.0
es,bart,risk_emphasis,n_trials,20,284.9,43.06897772301153,284.5,213.0,375.0
es,bart,risk_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
zh-CN,horizon,baseline,directed_exploration,20,0.5225,0.08187763655859305,0.5,0.4,0.65
zh-CN,horizon,baseline,horizon_effect,20,-2.0816681711721684e-18,0.07433919416750281,0.0,-0.15000000000000002,0.15
zh-CN,horizon,baseline,random_exploration_effect,20,0.2952365228192735,1.2722120596277098,-0.015486213496030077,-1.4547116670508435,2.9595502883372196
zh-CN,horizon,baseline,average_reward_per_trial,20,52.75066666666667,1.9467539634355562,53.20333333333333,48.983333333333334,55.42
zh-CN,horizon,baseline,exploration_rate,20,0.06964285714285715,0.028653547402242283,0.07142857142857142,0.02142857142857143,0.1357142857142857
zh-CN,horizon,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
zh-CN,horizon,baseline,n_games,20,40.0,0.0,40.0,40.0,40.0
zh-CN,horizon,baseline,n_trials,20,300.0,0.0,300.0,300.0,300.0
zh-CN,horizon,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
zh-CN,horizon,baseline,switching_rate,20,0.39916387959866223,0.021491282085575814,0.3979933110367893,0.35785953177257523,0.4414715719063545
zh-CN,horizon,detailed,directed_exploration,20,0.495,0.08720815992723809,0.5,0.3,0.7
zh-CN,horizon,detailed,horizon_effect,20,0.0075000000000000015,0.06340139463848775,0.0,-0.15,0.15000000000000002
zh-CN,horizon,detailed,random_exploration_effect,20,-0.12444838937643739,0.9968698752474348,-0.13184783444274562,-2.2177265002941002,1.5962006643646354
zh-CN,horizon,detailed,average_reward_per_trial,20,52.79966666666667,1.9197419721843048,53.263333333333335,49.18333333333333,55.41
zh-CN,horizon,detailed,exploration_rate,20,0.06428571428571428,0.029405129724851382,0.06071428571428571,0.02142857142857143,0.12142857142857143
zh-CN,horizon,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
zh-CN,horizon,detailed,n_games,20,40.0,0.0,40.0,40.0,40.0
zh-CN,horizon,detailed,n_trials,20,300.0,0.0,300.0,300.0,300.0
zh-CN,horizon,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
zh-CN,horizon,detailed,switching_rate,20,0.3934782608695652,0.022297937526131482,0.39464882943143814,0.34448160535117056,0.4414715719063545
zh-CN,horizon,role_human,directed_exploration,20,0.555,0.11686699592631833,0.55,0.4,0.8
zh-CN,horizon,role_human,horizon_effect,20,0.012499999999999999,0.08090767968233267,0.0,-0.15000000000000002,0.2
zh-CN,horizon,role_human,random_exploration_effect,20,0.24037340827826315,1.7801244750897451,0.17598278234246778,-2.9311708691101286,3.6468732832922766
zh-CN,horizon,role_human,average_reward_per_trial,20,52.736666666666665,1.9468802454333138,53.28333333333333,49.05,55.47
zh-CN,horizon,role_human,exploration_rate,20,0.0757142857142857,0.03479261869692297,0.07142857142857142,0.02857142857142857,0.18571428571428572
