task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
igt,baseline,advantageous_choice_rate,20,504,0.9080000000000001,0.5380952380952376,0.3699047619047625,2.327614198695398,0.0528752255189915,0.15892013466496727,0.88,0.52,0.20575000000000002,0.85,above,0.9900793650793651,0,0.0,en
igt,detailed,advantageous_choice_rate,20,504,0.8669999999999998,0.5380952380952376,0.32890476190476214,2.069622975075837,0.03130495168499706,0.15892013466496727,0.86,0.52,0.20575000000000002,0.85,above,0.9781746031746031,0,0.0,en
igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.969,0.5380952380952376,0.43090476190476235,2.7114547996903506,0.055241098354109695,0.15892013466496727,1.0,0.52,0.20575000000000002,0.85,above,1.0,0,0.0,en
igt,role_human,advantageous_choice_rate,20,504,0.9020000000000001,0.5380952380952376,0.3639047619047625,2.2898593854827793,0.04299326752680678,0.15892013466496727,0.88,0.52,0.20575000000000002,0.85,above,0.9900793650793651,0,0.0,en
igt,baseline,advantageous_choice_rate,20,504,0.8770000000000003,0.5380952380952376,0.3389047619047627,2.1325476637635377,0.007326950970650471,0.15892013466496727,0.88,0.52,0.20575000000000002,0.85,above,0.9821428571428571,0,0.0,es
igt,detailed,advantageous_choice_rate,20,504,0.8619999999999999,0.5380952380952376,0.32390476190476225,2.0381606307319884,0.00615587011251093,0.15892013466496727,0.86,0.52,0.20575000000000002,0.85,above,0.9781746031746031,0,0.0,es
igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.8810000000000002,0.5380952380952376,0.3429047619047626,2.157717539238616,0.01997366687468909,0.15892013466496727,0.88,0.52,0.20575000000000002,0.85,above,0.9880952380952381,0,0.0,es
igt,role_human,advantageous_choice_rate,20,504,0.8800000000000002,0.5380952380952376,0.3419047619047626,2.151425070369846,2.278129578503827e-16,0.15892013466496727,0.88,0.52,0.20575000000000002,0.85,above,0.9880952380952381,0,0.0,es
igt,baseline,advantageous_choice_rate,20,504,0.924,0.5380952380952376,0.3859047619047624,2.428293700595713,0.04881759820737642,0.15892013466496727,0.9299999999999999,0.52,0.20575000000000002,0.85,above,0.9940476190476191,0,0.0,zh-CN
igt,detailed,advantageous_choice_rate,20,504,0.8790000000000002,0.5380952380952376,0.3409047619047626,2.1451326015010763,0.004472135954999583,0.15892013466496727,0.88,0.52,0.20575000000000002,0.85,above,0.9821428571428571,0,0.0,zh-CN
igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.8639999999999999,0.5380952380952376,0.32590476190476225,2.050745568469528,0.025628931020687494,0.15892013466496727,0.86,0.52,0.20575000000000002,0.85,above,0.9781746031746031,4,0.2,zh-CN
igt,role_human,advantageous_choice_rate,20,504,0.9279999999999999,0.5380952380952376,0.3899047619047623,2.4534635760707912,0.057087190931250524,0.15892013466496727,0.9,0.52,0.20575000000000002,0.85,above,0.9940476190476191,1,0.05,zh-CN
igt,baseline,post_loss_switching_rate,20,504,0.5696839372521529,0.6946879629435914,-0.12500402569143843,-0.47266713222998397,0.13477322667343086,0.2644652381511809,0.6190476190476191,0.7642857142857142,0.15595486111111112,1.0,within,0.2976190476190476,20,1.0,en
igt,detailed,post_loss_switching_rate,20,504,0.6377637869377001,0.6946879629435914,-0.05692417600589128,-0.21524256421689233,0.053289647098415195,0.2644652381511809,0.6277056277056277,0.7642857142857142,0.15595486111111112,1.0,within,0.36507936507936506,20,1.0,en
igt,reward_loss_emphasis,post_loss_switching_rate,20,504,0.46860780955608544,0.6946879629435914,-0.22608015338750592,-0.8548577308987118,0.15300784769401587,0.2644652381511809,0.46413793103448275,0.7642857142857142,0.15595486111111112,1.0,within,0.22023809523809523,20,1.0,en
igt,role_human,post_loss_switching_rate,20,504,0.6111709956709956,0.6946879629435914,-0.08351696727259572,-0.3157956329400594,0.06755481352518977,0.2644652381511809,0.6190476190476191,0.7642857142857142,0.15595486111111112,1.0,within,0.34523809523809523,20,1.0,en
igt,baseline,post_loss_switching_rate,20,504,0.6134435817805385,0.6946879629435914,-0.08124438116305288,-0.30720249561346785,0.04001794303099715,0.2644652381511809,0.6277056277056277,0.7642857142857142,0.15595486111111112,1.0,within,0.34523809523809523,20,1.0,es
igt,detailed,post_loss_switching_rate,20,504,0.6717843026538677,0.6946879629435914,-0.022903660289723682,-0.08660367029647527,0.05334467333604903,0.2644652381511809,0.6818181818181818,0.7642857142857142,0.15595486111111112,1.0,within,0.40674603174603174,20,1.0,es
igt,reward_loss_emphasis,post_loss_switching_rate,20,504,0.6354429387038083,0.6946879629435914,-0.05924502423978306,-0.22401819102560386,0.04368486279297266,0.2644652381511809,0.6521739130434783,0.7642857142857142,0.15595486111111112,1.0,within,0.35912698412698413,20,1.0,es
igt,role_human,post_loss_switching_rate,20,504,0.6389610389610388,0.6946879629435914,-0.05572692398255252,-0.21071549657008748,0.0348279942419025,0.2644652381511809,0.6363636363636364,0.7642857142857142,0.15595486111111112,1.0,within,0.36507936507936506,20,1.0,es
igt,baseline,post_loss_switching_rate,20,504,0.29153947947051384,0.6946879629435914,-0.4031484834730775,-1.5243912065396614,0.03914789914086226,0.2644652381511809,0.30303030303030304,0.7642857142857142,0.15595486111111112,1.0,within,0.10515873015873016,20,1.0,zh-CN
